Reference, Value, Footprint, Datasheet, LCSC, Vendor, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock, Digikey, MPN, MFGPN
"U2","MX25L51245GZ2I-10G","artix7-pcie-v2:WSON-8-1EP_8x6mm_P1.27mm","","DNP","1092-1247-ND","","","","","","","","",""
"U1","XC7A75T-FGG484","artix7-pcie-v2:Xilinx_FGG484","","DNP","","","","","","","","","",""
"C2","0.1uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C1525","","","","","","","","","",""
"R7","4.7k/5%","tom-passives:R_0402_1005Metric","","C25900","2019-RK73H1ETTP4701FCT-ND","","","","","","","","",""
"R6","2.4k/5%","tom-passives:R_0402_1005Metric","","C25882","YAG5283CT-ND","","","","","","","","",""
"R5","4.7k/5%","tom-passives:R_0402_1005Metric","","C25900","2019-RK73H1ETTP4701FCT-ND","","","","","","","","",""
"J6","JTAG","tom-connectors:PinHeader_2x03_P2.54mm_Vertical","~","DNP","","","","","","","","","",""
"C1","47uF/6.3V/X5R","tom-passives:C_1206_3216Metric","","C96123","587-3400-1-ND","","","","","","","","",""
"R3","4.7k/5%","tom-passives:R_0402_1005Metric","","C25900","2019-RK73H1ETTP4701FCT-ND","","","","","","","","",""
"R2","4.7k/5%","tom-passives:R_0402_1005Metric","","C25900","2019-RK73H1ETTP4701FCT-ND","","","","","","","","",""
"R1","4.7k/5%","tom-passives:R_0402_1005Metric","","C25900","","","","","","","","","",""
"SW1","PROG","tom-mechanical:SW_Push_1P1T_NO_Vertical_Wuerth_434133025816","~","DNP","","","","","","","","","",""
"SW2","USER","tom-mechanical:SW_Push_1P1T_NO_Vertical_Wuerth_434133025816","~","DNP","","","","","","","","","",""
"R30","1k/1%","tom-passives:R_0402_1005Metric","","C11702","","","","","","","","","",""
"J7","Conn_01x02","tom-connectors:JST-2-SMD","~","DNP","","","","","","","","","",""
"D3","SBR3U20SA-13","tom-semiconductors:D_SMA","","C146738","SBR3U20SA-13DICT-ND","","","","","","","","",""
"R29","1.5k","tom-passives:R_0402_1005Metric","","C25867","311-1.50KLRCT-ND","","","","","","","","",""
"D2","E6C1206RGBC3UDA","tom-opto:E6C1206RGBC3UDA","https://datasheet.lcsc.com/szlcsc/1912111437_EKINGLUX-E6C1206RGBC3UDA_C375571.pdf","C375571","754-2167-1-ND","","","","","","","","",""
"R34","300R/5%","tom-passives:R_0402_1005Metric","","C25102","","","","","","","","","",""
"R35","300R/5%","tom-passives:R_0402_1005Metric","","C25102","","","","","","","","","",""
"J10","USB_B_Micro","tom-connectors:USB_MICRO_TAOBAO_SMD_PTH","~","DNP","","","","","","","","","",""
"R37","1.5k","tom-passives:R_0402_1005Metric","","C25867","311-1.50KLRCT-ND","","","","","","","","",""
"D4","SBR3U20SA-13","tom-semiconductors:D_SMA","","C146738","SBR3U20SA-13DICT-ND","","","","","","","","",""
"U4","5P49V6965A000NLGI","artix7-pcie-v2:QFN50P400X400X100-25N-D","https://componentsearchengine.com/Datasheets/1/5P49V6965A000NLGI.pdf","DNP","800-3818-ND","Clock Generators & Support Products VersaClock 6E Standard Part","1","IDT","5P49V6965A000NLGI","972-49V6965A000NLGI","https://www.mouser.com/Search/Refine.aspx?Keyword=972-49V6965A000NLGI","","",""
"R10","4.7k/5%","tom-passives:R_0402_1005Metric","","C25900","","","","","","","","","",""
"R9","4.7k/5%","tom-passives:R_0402_1005Metric","","C25900","","","","","","","","","",""
"X1","25MHz/10pF","tom-passives:Crystal_SMD_3225-4Pin_3.2x2.5mm","","C9006","535-13468-1-ND","","","","","","","","",""
"D1","DONE","tom-opto:LED_0402_1005Metric","~","C130722","","","","","","","","","",""
"J8","SER","tom-connectors:PinHeader_2x03_P2.54mm_Vertical","~","DNP","","","","","","","","","",""
"TP9","TestPoint","tom-mechanical:TestPoint_Loop_D2.50mm_Drill1.0mm","~","DNP","","","","","","","","","",""
"C17","0.1uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C1525","","","","","","","","","",""
"C25","0.1uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C1525","","","","","","","","","",""
"C27","0.1uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C1525","","","","","","","","","",""
"C29","0.1uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C1525","","","","","","","","","",""
"C31","0.1uF/6.3V/X5R","tom-passives:C_0402_1005Metric","","C1525","","","","","","","","","",""
"D5","PWR","tom-opto:LED_0402_1005Metric","~","C130724","","","","","","","","","",""
"R51","4.7k/5%","tom-passives:R_0402_1005Metric","","C25900","","","","","","","","","",""
"TP10","TestPoint","tom-mechanical:MountingHole_2.7mm_M2.5_DIN965_Pad","~","DNP","","","","","","","","","",""
"TP11","TestPoint","tom-mechanical:MountingHole_2.7mm_M2.5_DIN965_Pad","~","DNP","","","","","","","","","",""
"TP12","TestPoint","tom-mechanical:MountingHole_2.7mm_M2.5_DIN965_Pad","~","DNP","","","","","","","","","",""
"TP13","TestPoint","tom-mechanical:MountingHole_2.7mm_M2.5_DIN965_Pad","~","DNP","","","","","","","","","",""
"H1","mask silk image","artix7-pcie-v2:mask","","DNP","","","","","","","","","",""
"R52","100R/1%","tom-passives:R_0402_1005Metric","","C25076","","","","","","","","","",""
"TP14","SCL","tom-mechanical:TestPoint_Pad_D1.5mm","~","DNP","","","","","","","","","",""
"TP15","SDA","tom-mechanical:TestPoint_Pad_D1.5mm","~","DNP","","","","","","","","","",""
"TP16","TestPoint","tom-mechanical:TestPoint_Pad_D1.5mm","~","DNP","","","","","","","","","",""
"TP18","TestPoint","tom-mechanical:TestPoint_Pad_D1.5mm","~","DNP","","","","","","","","","",""
"TP19","TestPoint","tom-mechanical:TestPoint_Pad_D1.5mm","~","DNP","","","","","","","","","",""
"TP20","TestPoint","tom-mechanical:TestPoint_Pad_D1.5mm","~","DNP","","","","","","","","","",""
"TP17","TestPoint","tom-mechanical:TestPoint_Pad_D1.5mm","~","DNP","","","","","","","","","",""
"H2","mech-only-no-pins","tom-mechanical:JLCPCB_ASSEMBLY_TOOL_HOLE","","DNP","","","","","","","","","",""
"H3","mech-only-no-pins","tom-mechanical:JLCPCB_ASSEMBLY_TOOL_HOLE","","DNP","","","","","","","","","",""
