Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","47uF/6.3V/X5R","C_1206_3216Metric",-30.800000,17.790000,0.000000,bottom
"C2","0.1uF/6.3V/X5R","C_0402_1005Metric",-51.160000,26.780000,270.000000,bottom
"C3","0.1uF/6.3V/X5R","C_0402_1005Metric",-14.700000,43.990000,270.000000,bottom
"C4","0.1uF/6.3V/X5R","C_0402_1005Metric",-47.900000,43.890000,270.000000,bottom
"C5","4.7uF/10V/X5R","C_0402_1005Metric",-44.470000,17.320000,90.000000,bottom
"C6","4.7uF/10V/X5R","C_0402_1005Metric",-6.690000,24.160000,90.000000,bottom
"C7","10uF/25V/X7R","C_1206_3216Metric",-50.260000,10.900000,270.000000,bottom
"C8","4.7uF/10V/X5R","C_0402_1005Metric",-6.960000,19.660000,270.000000,bottom
"C9","47uF/10V/X7R","C_1206_3216Metric",-15.950000,31.540000,270.000000,bottom
"C10","4.7uF/10V/X5R","C_0402_1005Metric",-48.550000,39.010000,0.000000,bottom
"C11","4.7uF/10V/X5R","C_0402_1005Metric",-9.020000,9.530000,90.000000,bottom
"C12","47uF/10V/X7R","C_1206_3216Metric",-9.400000,17.270000,0.000000,bottom
"C13","10uF/25V/X7R","C_1206_3216Metric",-44.180000,32.640000,180.000000,bottom
"C14","47uF/10V/X7R","C_1206_3216Metric",-12.170000,9.390000,0.000000,bottom
"C15","4.7uF/10V/X5R","C_0402_1005Metric",-8.210000,30.800000,270.000000,bottom
"C16","4.7uF/10V/X5R","C_0402_1005Metric",-45.530000,25.980000,0.000000,bottom
"C17","0.1uF/6.3V/X5R","C_0402_1005Metric",-20.300000,7.790000,0.000000,bottom
"C18","100uF/6.3V/X5R","CP_EIA-3216-12_Kemet-S",-6.590000,8.100000,90.000000,bottom
"C19","4.7uF/6.3V/X5R","C_0402_1005Metric",-27.200000,33.190000,180.000000,bottom
"C20","0.1uF/6.3V/X5R","C_0402_1005Metric",-25.300000,33.190000,0.000000,bottom
"C21","0.1uF/6.3V/X5R","C_0402_1005Metric",-29.100000,33.190000,0.000000,bottom
"C23","100uF/6.3V/X5R","CP_EIA-3216-12_Kemet-S",-6.400000,42.590000,270.000000,bottom
"C25","0.1uF/6.3V/X5R","C_0402_1005Metric",-15.900000,34.890000,0.000000,bottom
"C27","0.1uF/6.3V/X5R","C_0402_1005Metric",-9.900000,34.190000,180.000000,bottom
"C29","0.1uF/6.3V/X5R","C_0402_1005Metric",-13.500000,40.690000,0.000000,bottom
"C30","0.1uF/6.3V/X5R","C_0402_1005Metric",-28.700000,34.390000,0.000000,bottom
"C31","0.1uF/6.3V/X5R","C_0402_1005Metric",-8.100000,39.590000,180.000000,bottom
"C32","0.1uF/6.3V/X5R","C_0402_1005Metric",-24.400000,35.390000,90.000000,bottom
"C33","0.1uF/6.3V/X5R","C_0402_1005Metric",-30.700000,34.890000,90.000000,bottom
"C34","4.7uF/6.3V/X5R","C_0402_1005Metric",-23.200000,33.390000,0.000000,bottom
"C35","4.7uF/10V/X5R","C_0402_1005Metric",-14.160000,30.390000,270.000000,bottom
"C36","4.7uF/10V/X5R","C_0402_1005Metric",-44.290000,21.580000,90.000000,bottom
"C42","100uF/6.3V/X5R","CP_EIA-3216-12_Kemet-S",-34.500000,30.190000,0.000000,bottom
"C43","4.7uF/6.3V/X5R","C_0402_1005Metric",-28.930000,23.390000,180.000000,bottom
"C44","100uF/6.3V/X5R","CP_EIA-3216-12_Kemet-S",-25.000000,19.890000,270.000000,bottom
"C45","4.7uF/6.3V/X5R","C_0402_1005Metric",-31.500000,28.590000,0.000000,bottom
"C46","4.7uF/6.3V/X5R","C_0402_1005Metric",-24.800000,25.590000,180.000000,bottom
"C47","0.1uF/6.3V/X5R/PCIE","C_0402_1005Metric",-33.000000,39.990000,45.000000,bottom
"C48","0.1uF/6.3V/X5R/PCIE","C_0402_1005Metric",-32.300000,40.690000,45.000000,bottom
"C49","0.47uF/6.3V/X5R","C_0402_1005Metric",-29.200000,27.670000,180.000000,bottom
"C50","4.7uF/6.3V/X5R","C_0402_1005Metric",-31.200000,23.290000,0.000000,bottom
"C51","0.47uF/6.3V/X5R","C_0402_1005Metric",-31.200000,21.390000,0.000000,bottom
"C52","0.47uF/6.3V/X5R","C_0402_1005Metric",-31.500000,25.390000,0.000000,bottom
"C53","0.47uF/6.3V/X5R","C_0402_1005Metric",-24.800000,31.490000,180.000000,bottom
"C54","0.47uF/6.3V/X5R","C_0402_1005Metric",-29.180000,32.180000,180.000000,bottom
"C55","0.47uF/6.3V/X5R","C_0402_1005Metric",-27.300000,31.190000,0.000000,bottom
"C56","0.47uF/6.3V/X5R","C_0402_1005Metric",-28.000000,26.390000,180.000000,bottom
"C58","0.47uF/6.3V/X5R","C_0402_1005Metric",-24.800000,30.490000,180.000000,bottom
"C59","0.47uF/6.3V/X5R","C_0402_1005Metric",-26.500000,29.190000,180.000000,bottom
"C60","100uF/6.3V/X5R","CP_EIA-3216-12_Kemet-S",-35.800000,26.390000,0.000000,bottom
"C61","4.7uF/6.3V/X5R","C_0402_1005Metric",-36.400000,21.890000,270.000000,bottom
"C62","4.7uF/6.3V/X5R","C_0402_1005Metric",-37.700000,20.290000,180.000000,bottom
"C63","0.47uF/6.3V/X5R","C_0402_1005Metric",-33.000000,26.290000,90.000000,bottom
"C64","0.47uF/6.3V/X5R","C_0402_1005Metric",-39.100000,17.390000,0.000000,bottom
"C65","0.47uF/6.3V/X5R","C_0402_1005Metric",-40.500000,22.390000,90.000000,bottom
"C66","0.47uF/6.3V/X5R","C_0402_1005Metric",-34.000000,20.390000,270.000000,bottom
"C67","100uF/6.3V/X5R","CP_EIA-3216-12_Kemet-S",-53.500000,8.790000,270.000000,bottom
"C68","100uF/6.3V/X5R","CP_EIA-3216-12_Kemet-S",-53.600000,42.390000,90.000000,bottom
"C69","0.47uF/6.3V/X5R","C_0402_1005Metric",-29.500000,25.390000,180.000000,bottom
"C70","4.7uF/6.3V/X5R","C_0402_1005Metric",-31.100000,31.290000,0.000000,bottom
